Chọn loại khách sạn,,Chọn Loại ks,Chọn cấp sao,,"Đánh giá, chấm điểm","Đánh giá, chấm điểm",Yêu cầu đối với loại khách sạn,H,R,M,F,Yêu cầu đối với hạng sao,1,2,3,4,5,
M,M,,3,3,nhấn 1,1 hoặc x,,,,,,,,,,,,2
"1 Vị trí, kiến trúc",,,,,,,,,,,,,,,,,,3
1.1 Vị trí,,,,,,,,,,,,,,,,,,4
- Thuận lợi,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"1, 2",1,1,,,,5
"- Rất thuận lợi, dễ tiếp cận",1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,6
"- Môi trường, cảnh quan đẹp",1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,7
1.2 Thiết kế kiến trúc,,,,,,,,,,,,,,,,,,8
"- Thiết kế kiến trúc phù hợp với yêu cầu kinh doanh, các khu vực dịch vụ được bố trí hợp lý, thuận tiện",1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,9
- Thiết kế kiến trúc đẹp,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,10
- Kiến trúc độc đáo,1,Ap Dung,Khong,,1,,"H, R, M, F",1,1,1,1,5,,,,,1,11
- Toàn cảnh được thiết kế thống nhất,1,Ap Dung,Khong,,1,,"H, R, M, F",1,1,1,1,5(*),,,,,x,12
"- Nội, ngoại thất được thiết kế, bài trí, trang trí hợp lý",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"1(*), 2(*)",x,x,,,,13
"- Nội, ngoại thất được thiết kế, bài trí, trang trí hợp lý, đẹp, sang trọng, vật liệu xây dựng chất lượng tốt",1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,14
"- Mặt tiền khách sạn: đường vào, vỉa hè, tiểu cảnh được thiết kế đẹp, sang trọng, tinh tế",,Khong,Khong,,1,,"H, R",1,1,,,5(*),,,,,x,15
- Có mái che trước sảnh đón tiếp,,Khong,khuyen khich,1,1,1,H,1,,,,"3, 4(*), 5(*)",,,1,x,x,16
- Cửa ra vào riêng cho khách và nhân viên,1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"3, 4(*), 5(*)",,,1,x,x,17
- Đường vào đảm bảo cho người khuyết tật tiếp cận sử dụng,1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"1, 2, 3, 4",1,1,1,1,,18
- Đường vào đảm bảo cho người khuyết tật tiếp cận sử dụng,,Khong,Khong,,,,R,,1,,,5,,,,,1,19
- Đường vào đảm bảo cho người khuyết tật tiếp cận sử dụng,1,Ap Dung,Khong,,1,,"H, M, F",1,,1,1,5(*),,,,,x,20
"- Buồng ngủ cho người khuyết tật đi bằng xe lăn, xe đẩy",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,21
- Tầng đặc biệt hoặc khu phục vụ đặc biệt,,Khong,Khong,,1,,H,1,,,,5(*),,,,,x,22
- Tầng đặc biệt hoặc khu phục vụ đặc biệt,1,Ap Dung,Khong,,1,,R,1,1,1,1,5,,,,,1,23
- Khu vực buồng ngủ cách âm tốt,1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"1, 2, 3, 4(*), 5(*)",1,1,1,x,x,24
